iter	Passed	Remaining
0	166	165998
1	167	83769
2	169	56383
3	171	42684
4	173	34463
5	176	29267
6	178	25312
7	180	22376
8	182	20054
9	183	18191
10	185	16665
11	187	15399
12	190	14429
13	191	13505
14	193	12707
15	195	12006
16	197	11399
17	198	10849
18	200	10351
19	202	9898
20	204	9553
21	207	9204
22	208	8869
23	210	8560
24	212	8284
25	214	8017
26	215	7770
27	217	7540
28	219	7342
29	220	7144
30	222	6956
31	224	6793
32	226	6641
33	228	6491
34	230	6349
35	233	6248
36	235	6119
37	236	5995
38	238	5877
39	240	5763
40	242	5663
41	243	5560
42	246	5492
43	249	5413
44	250	5320
45	252	5232
46	253	5147
47	255	5065
48	257	4993
49	258	4919
50	262	4879
51	263	4811
52	265	4745
53	267	4679
54	268	4618
55	270	4558
56	272	4499
57	273	4444
58	276	4408
59	278	4357
60	279	4308
61	281	4259
62	283	4212
63	284	4165
64	286	4122
65	288	4079
66	292	4068
67	294	4029
68	295	3992
69	297	3952
70	298	3912
71	300	3874
72	302	3838
73	303	3802
74	305	3773
75	307	3741
76	309	3710
77	311	3684
78	314	3662
79	316	3637
80	319	3623
81	321	3594
82	321	3557
83	323	3528
84	325	3501
85	326	3474
86	328	3448
87	330	3422
88	332	3398
89	336	3399
90	337	3374
91	339	3349
92	340	3325
93	342	3301
94	344	3280
95	346	3259
96	349	3250
97	350	3229
98	352	3207
99	354	3187
100	355	3166
101	357	3147
102	359	3129
103	361	3112
104	364	3107
105	366	3089
106	367	3070
107	369	3052
108	371	3034
109	372	3016
110	374	2998
111	375	2981
112	377	2966
113	381	2961
114	382	2946
115	384	2930
116	385	2912
117	387	2898
118	389	2885
119	391	2872
120	395	2873
121	396	2856
122	398	2842
123	400	2829
124	402	2815
125	403	2802
126	405	2786
127	407	2772
128	410	2771
129	412	2758
130	413	2744
131	415	2731
132	416	2718
133	418	2704
134	420	2692
135	421	2679
136	425	2681
137	427	2670
138	429	2658
139	430	2647
140	432	2637
141	434	2622
142	435	2610
143	437	2598
144	440	2598
145	442	2587
146	444	2577
147	445	2567
148	447	2557
149	449	2547
150	451	2536
151	454	2535
152	457	2534
153	463	2544
154	471	2571
155	474	2567
156	476	2558
157	478	2550
158	480	2543
159	483	2538
160	485	2531
161	488	2527
162	490	2519
163	492	2512
164	494	2504
165	497	2499
166	501	2503
167	504	2496
168	510	2511
169	517	2527
170	520	2522
171	523	2521
172	528	2524
173	529	2514
174	534	2521
175	536	2513
176	538	2504
177	541	2499
178	543	2490
179	544	2481
180	549	2486
181	552	2481
182	553	2472
183	555	2462
184	556	2452
185	558	2443
186	560	2434
187	564	2439
188	568	2438
189	570	2430
190	571	2420
191	573	2411
192	574	2402
193	578	2403
194	581	2398
195	583	2393
196	585	2384
197	586	2376
198	588	2367
199	589	2358
200	595	2366
201	598	2364
202	600	2356
203	601	2348
204	603	2340
205	605	2332
206	608	2329
207	611	2329
208	614	2324
209	615	2316
210	617	2309
211	619	2302
212	621	2296
213	624	2294
214	626	2286
215	627	2279
216	629	2271
217	634	2275
218	635	2268
219	637	2260
220	639	2253
221	641	2246
222	643	2240
223	644	2233
224	648	2234
225	650	2227
226	651	2219
227	653	2212
228	655	2205
229	656	2198
230	658	2191
231	659	2184
232	663	2183
233	665	2177
234	666	2170
235	668	2163
236	670	2157
237	671	2150
238	673	2143
239	676	2143
240	678	2137
241	680	2131
242	681	2124
243	684	2119
244	685	2113
245	687	2106
246	689	2100
247	692	2099
248	694	2095
249	696	2089
250	698	2083
251	699	2077
252	701	2071
253	703	2065
254	704	2058
255	708	2058
256	709	2052
257	711	2047
258	713	2041
259	715	2035
260	717	2031
261	718	2025
262	721	2022
263	723	2017
264	725	2011
265	727	2006
266	728	2001
267	730	1995
268	732	1989
269	733	1984
270	737	1983
271	739	1979
272	741	1973
273	742	1968
274	744	1962
275	745	1956
276	747	1951
277	749	1946
278	752	1945
279	754	1939
280	756	1935
281	758	1930
282	759	1924
283	761	1919
284	762	1913
285	764	1908
286	767	1907
287	769	1902
288	771	1897
289	772	1892
290	774	1887
291	776	1882
292	778	1877
293	779	1872
294	783	1872
295	785	1867
296	786	1862
297	788	1857
298	790	1852
299	791	1847
300	793	1842
301	795	1837
302	797	1834
303	799	1829
304	800	1824
305	802	1819
306	804	1814
307	805	1809
308	807	1805
309	809	1802
310	811	1798
311	813	1793
312	814	1788
313	816	1784
314	818	1779
315	820	1775
316	821	1770
317	823	1766
318	828	1768
319	830	1764
320	834	1765
321	842	1774
322	845	1772
323	849	1772
324	851	1768
325	854	1765
326	858	1767
327	861	1764
328	863	1761
329	865	1757
330	868	1755
331	872	1756
332	874	1752
333	877	1748
334	880	1747
335	882	1743
336	884	1739
337	885	1734
338	887	1730
339	889	1726
340	891	1722
341	892	1717
342	894	1713
343	896	1708
344	897	1704
345	900	1703
346	902	1698
347	904	1693
348	905	1689
349	907	1684
350	908	1680
351	910	1676
352	912	1672
353	913	1667
354	918	1669
355	921	1666
356	923	1662
357	924	1658
358	926	1653
359	928	1649
360	931	1648
361	935	1649
362	942	1653
363	945	1651
364	948	1649
365	950	1646
366	953	1644
367	955	1640
368	958	1638
369	962	1639
370	964	1635
371	966	1631
372	968	1627
373	969	1623
374	972	1620
375	975	1619
376	978	1616
377	981	1614
378	983	1611
379	986	1608
380	990	1609
381	992	1605
382	994	1602
383	997	1599
384	999	1596
385	1001	1593
386	1007	1595
387	1009	1591
388	1011	1588
389	1014	1586
390	1016	1583
391	1019	1582
392	1022	1578
393	1024	1575
394	1032	1580
395	1036	1580
396	1039	1578
397	1042	1577
398	1045	1574
399	1047	1571
400	1052	1571
401	1054	1569
402	1056	1565
403	1058	1562
404	1061	1558
405	1063	1555
406	1067	1554
407	1070	1553
408	1072	1550
409	1075	1548
410	1078	1546
411	1083	1545
412	1085	1542
413	1087	1539
414	1089	1536
415	1091	1532
416	1094	1530
417	1099	1530
418	1101	1527
419	1104	1524
420	1106	1521
421	1108	1518
422	1114	1520
423	1116	1517
424	1119	1514
425	1121	1511
426	1123	1507
427	1128	1507
428	1130	1504
429	1132	1501
430	1134	1498
431	1139	1497
432	1146	1500
433	1148	1497
434	1150	1494
435	1152	1491
436	1155	1488
437	1159	1487
438	1161	1484
439	1164	1481
440	1168	1481
441	1171	1478
442	1173	1475
443	1174	1471
444	1177	1467
445	1178	1464
446	1180	1460
447	1182	1456
448	1183	1452
449	1186	1449
450	1191	1449
451	1192	1446
452	1194	1442
453	1196	1438
454	1198	1434
455	1199	1431
456	1201	1427
457	1204	1425
458	1206	1422
459	1208	1418
460	1209	1414
461	1211	1411
462	1213	1407
463	1215	1404
464	1217	1400
465	1219	1397
466	1221	1393
467	1222	1390
468	1224	1386
469	1226	1383
470	1228	1379
471	1229	1375
472	1231	1372
473	1235	1370
474	1237	1367
475	1238	1363
476	1240	1360
477	1242	1356
478	1243	1352
479	1245	1349
480	1247	1346
481	1249	1343
482	1251	1339
483	1253	1336
484	1255	1332
485	1256	1329
486	1258	1325
487	1260	1322
488	1263	1320
489	1265	1316
490	1267	1313
491	1268	1309
492	1270	1306
493	1272	1303
494	1274	1299
495	1275	1296
496	1279	1295
497	1281	1292
498	1283	1288
499	1285	1285
500	1286	1281
501	1288	1278
502	1290	1274
503	1294	1273
504	1296	1270
505	1298	1268
506	1300	1264
507	1302	1261
508	1304	1258
509	1309	1257
510	1311	1254
511	1312	1251
512	1314	1248
513	1316	1244
514	1318	1241
515	1319	1238
516	1321	1234
517	1325	1233
518	1327	1230
519	1329	1226
520	1330	1223
521	1332	1219
522	1333	1216
523	1336	1213
524	1338	1210
525	1339	1207
526	1341	1204
527	1343	1201
528	1345	1197
529	1347	1194
530	1348	1191
531	1351	1189
532	1353	1185
533	1355	1182
534	1357	1179
535	1358	1176
536	1360	1173
537	1362	1169
538	1363	1166
539	1368	1165
540	1369	1162
541	1371	1158
542	1372	1155
543	1374	1152
544	1376	1149
545	1378	1145
546	1381	1143
547	1382	1140
548	1384	1137
549	1385	1133
550	1387	1131
551	1389	1127
552	1391	1124
553	1393	1121
554	1396	1119
555	1398	1116
556	1399	1113
557	1401	1109
558	1403	1106
559	1404	1103
560	1406	1100
561	1408	1097
562	1411	1095
563	1413	1092
564	1415	1089
565	1416	1086
566	1418	1083
567	1419	1079
568	1421	1076
569	1423	1073
570	1426	1072
571	1428	1068
572	1430	1065
573	1431	1062
574	1433	1059
575	1435	1056
576	1437	1053
577	1438	1050
578	1442	1048
579	1443	1045
580	1445	1042
581	1447	1039
582	1448	1036
583	1450	1033
584	1452	1030
585	1454	1027
586	1458	1025
587	1459	1022
588	1461	1019
589	1462	1016
590	1464	1013
591	1465	1010
592	1467	1007
593	1469	1004
594	1472	1002
595	1474	999
596	1475	996
597	1477	993
598	1479	990
599	1480	987
600	1482	984
601	1484	981
602	1487	979
603	1488	976
604	1490	973
605	1492	970
606	1493	967
607	1495	964
608	1496	961
609	1498	958
610	1501	955
611	1503	953
612	1505	950
613	1506	947
614	1508	944
615	1510	941
616	1511	938
617	1513	935
618	1516	933
619	1518	930
620	1520	927
621	1521	924
622	1523	921
623	1525	919
624	1526	916
625	1528	913
626	1531	911
627	1533	908
628	1535	905
629	1536	902
630	1538	899
631	1540	896
632	1541	893
633	1543	891
634	1546	888
635	1548	886
636	1550	883
637	1551	880
638	1553	877
639	1554	874
640	1556	871
641	1558	868
642	1561	866
643	1562	863
644	1564	861
645	1566	858
646	1568	855
647	1569	852
648	1571	850
649	1573	847
650	1575	844
651	1577	842
652	1580	839
653	1581	836
654	1583	834
655	1585	831
656	1587	828
657	1589	826
658	1592	824
659	1594	821
660	1596	818
661	1598	816
662	1599	813
663	1601	810
664	1603	807
665	1606	805
666	1608	802
667	1609	800
668	1611	797
669	1613	794
670	1614	791
671	1616	789
672	1618	786
673	1621	784
674	1622	781
675	1624	778
676	1626	775
677	1627	773
678	1629	770
679	1631	767
680	1633	764
681	1636	762
682	1638	760
683	1639	757
684	1641	754
685	1642	752
686	1644	749
687	1646	746
688	1648	743
689	1651	741
690	1652	739
691	1654	736
692	1656	733
693	1657	730
694	1659	728
695	1661	725
696	1662	722
697	1666	721
698	1668	718
699	1670	716
700	1672	713
701	1674	711
702	1676	708
703	1679	705
704	1683	704
705	1685	701
706	1687	699
707	1689	696
708	1692	694
709	1694	691
710	1697	690
711	1700	687
712	1702	685
713	1704	682
714	1706	680
715	1708	677
716	1710	675
717	1713	672
718	1714	670
719	1716	667
720	1718	664
721	1719	662
722	1721	659
723	1723	656
724	1724	654
725	1728	652
726	1730	649
727	1731	647
728	1733	644
729	1734	641
730	1736	639
731	1738	636
732	1739	633
733	1743	631
734	1745	629
735	1746	626
736	1748	623
737	1749	621
738	1751	618
739	1753	616
740	1754	613
741	1758	611
742	1759	608
743	1761	606
744	1763	603
745	1765	600
746	1766	598
747	1768	595
748	1772	594
749	1775	591
750	1777	589
751	1778	586
752	1780	584
753	1782	581
754	1783	578
755	1785	576
756	1788	574
757	1790	571
758	1792	569
759	1794	566
760	1795	563
761	1797	561
762	1798	558
763	1800	556
764	1803	554
765	1806	551
766	1809	549
767	1812	547
768	1820	546
769	1822	544
770	1824	541
771	1826	539
772	1827	536
773	1829	534
774	1830	531
775	1833	529
776	1835	526
777	1837	524
778	1839	521
779	1841	519
780	1842	516
781	1844	514
782	1846	511
783	1848	509
784	1850	506
785	1852	504
786	1853	501
787	1855	499
788	1857	496
789	1859	494
790	1860	491
791	1864	489
792	1866	487
793	1868	484
794	1869	482
795	1871	479
796	1873	477
797	1874	474
798	1876	472
799	1879	469
800	1881	467
801	1883	464
802	1884	462
803	1886	459
804	1888	457
805	1890	454
806	1891	452
807	1894	450
808	1896	447
809	1898	445
810	1900	442
811	1901	440
812	1903	437
813	1905	435
814	1907	432
815	1910	430
816	1912	428
817	1913	425
818	1915	423
819	1917	420
820	1919	418
821	1921	416
822	1924	413
823	1925	411
824	1927	408
825	1929	406
826	1930	403
827	1932	401
828	1934	399
829	1936	396
830	1939	394
831	1941	391
832	1942	389
833	1944	386
834	1945	384
835	1947	382
836	1949	379
837	1950	377
838	1954	374
839	1956	372
840	1957	370
841	1959	367
842	1960	365
843	1962	362
844	1964	360
845	1966	357
846	1969	355
847	1971	353
848	1973	350
849	1974	348
850	1976	346
851	1978	343
852	1979	341
853	1981	338
854	1984	336
855	1986	334
856	1988	331
857	1989	329
858	1991	326
859	1993	324
860	1995	322
861	1997	319
862	2001	317
863	2002	315
864	2004	312
865	2006	310
866	2007	308
867	2009	305
868	2011	303
869	2014	301
870	2016	298
871	2017	296
872	2019	293
873	2020	291
874	2022	288
875	2024	286
876	2026	284
877	2029	281
878	2031	279
879	2032	277
880	2034	274
881	2035	272
882	2037	269
883	2039	267
884	2040	265
885	2042	262
886	2045	260
887	2047	258
888	2048	255
889	2050	253
890	2052	251
891	2054	248
892	2055	246
893	2057	243
894	2059	241
895	2061	239
896	2063	236
897	2064	234
898	2066	232
899	2068	229
900	2071	227
901	2074	225
902	2075	222
903	2077	220
904	2079	218
905	2081	215
906	2082	213
907	2084	211
908	2086	208
909	2089	206
910	2091	204
911	2093	201
912	2095	199
913	2096	197
914	2098	194
915	2100	192
916	2101	190
917	2105	188
918	2106	185
919	2108	183
920	2110	181
921	2112	178
922	2113	176
923	2115	173
924	2117	171
925	2120	169
926	2121	167
927	2123	164
928	2125	162
929	2127	160
930	2128	157
931	2130	155
932	2132	153
933	2136	150
934	2137	148
935	2139	146
936	2141	143
937	2142	141
938	2144	139
939	2146	136
940	2148	134
941	2150	132
942	2152	130
943	2153	127
944	2156	125
945	2157	123
946	2159	120
947	2161	118
948	2164	116
949	2166	114
950	2167	111
951	2169	109
952	2170	107
953	2172	104
954	2174	102
955	2175	100
956	2178	97
957	2180	95
958	2182	93
959	2184	91
960	2185	88
961	2187	86
962	2189	84
963	2191	81
964	2194	79
965	2196	77
966	2198	75
967	2199	72
968	2201	70
969	2203	68
970	2204	65
971	2206	63
972	2209	61
973	2211	59
974	2213	56
975	2214	54
976	2216	52
977	2218	49
978	2220	47
979	2221	45
980	2225	43
981	2227	40
982	2229	38
983	2231	36
984	2232	34
985	2234	31
986	2236	29
987	2239	27
988	2241	24
989	2243	22
990	2244	20
991	2246	18
992	2247	15
993	2249	13
994	2252	11
995	2255	9
996	2257	6
997	2258	4
998	2260	2
999	2262	0
